"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Validating Login page","User on login page and login with invalid username and invalid password","0","0","1","0","0"
"","Queue feature","The user is able to run code in Editor for Graph page","0","0","4","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to ""Tree Traversals"" Page","0","0","1","0","0"
"","Queue feature","Navigating Implementation of Queue in Python page","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is able to navigate to Applications page having an tryEditor","0","0","1","0","0"
"","Testing LinkedList page","The user validating ""Practice Questions"" page","0","0","1","0","0"
"","Array feature","The user is presented with error message for code with invalid syntax in tryEditor for Squares of a Sorted Array","0","0","1","0","0"
"","Array feature","Navigating to Practice Questions page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to ""Terminologies"" Page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to ""Traversals illustration"" Page","0","0","1","0","0"
"","Array feature","The user is able to run code in tryEditor for Squares of a Sorted Array","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is directed to ""Stack"" Page","0","0","1","0","0"
"","Testing LinkedList page","User navigated to tryEditor page with Run button from Traversal page","0","0","1","0","0"
"","Array feature","The user is able to run code in tryEditor for Find Numbers with Even Number of Digits","0","0","1","0","0"
"","Testing LinkedList page","User navigated to tryEditor page with Run button from Insertion page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Linkedlist"" without sign in","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Graph"" without sign in","0","0","1","0","0"
"","Testing LinkedList page","User navigated to ""Introduction"" page","0","0","1","0","0"
"","Testing LinkedList page","User navigated to tryEditor page with Run button from Introduction page","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user is able to navigate to graph url and click on Practice Questions","0","0","1","0","0"
"","Array feature","The user is able to submit code in tryEditor for Max Consecutive Ones","0","0","1","0","0"
"","DataStructures-Introduction feature","The user is able to run code in Editor for Graph page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is logged in to DS Algo portal","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to ""Types of Binary trees"" Page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to binary tree traversals Page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Traversals-Illustration Page","0","0","1","0","0"
"","Array feature","The user is presented with error message for code with invalid syntax in tryEditor for Find Numbers with Even Number of Digits","0","0","1","0","0"
"","Validating Register page","The user is presented with error message for password too similar to your other personal information","0","0","1","0","0"
"","Validating Register page","User launch home page of an dsalgo project","0","0","1","0","0"
"","Testing LinkedList page","User navigated to tryEditor page with Run button from Types of Linked List","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Types of Binary Trees Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Graph"" on home page without sign in","0","0","1","0","0"
"","Validating Login page","Sign-Out scenario","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user is presented with error message for invalid code in Editor for Graph Representations page","0","0","1","0","0"
"","Array feature","Navigating Arrays Using List page","0","0","1","0","0"
"","Array feature","Navigating Basic Operations in Lists page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Linkedlist"" on home page without sign in","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user validating ""Practice Questions"" page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to ""Types of Trees"" Page","0","0","1","0","0"
"","Validating Register page","The user is presented with error message for password with only numbers","0","0","1","0","0"
"","Testing LinkedList page","User navigated to tryEditor page with Run button from Creating a Linked List page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to Implementation of Binary Trees Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Queue"" without sign in","0","0","1","0","0"
"","Queue feature","The user is able to click and navigate to Practice Questions","0","0","1","0","0"
"","Validating Register page","The user is presented with error message for invalid username","0","0","1","0","0"
"","Validating Register page","The user is presented with error message for commonly used password","0","0","1","0","0"
"","Testing LinkedList page","User navigated to tryEditor page with Run button from Deletion page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Tree"" without sign in","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is able to navigate to ""Implementation"" Page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to Implementation in Python Page","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is logged in to DS Algo portal","0","0","1","0","0"
"","Array feature","The user is able to navigate to Question page from Find Numbers with Even Number of Digits","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to ""Binary Search Trees"" Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on sign in","0","0","1","0","0"
"","Array feature","The user is able to navigate to Question page from Max Consecutive Ones","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is directed to ""Tree"" Page","0","0","1","0","0"
"","Array feature","The user is able to submit code in tryEditor for Squares of a Sorted Array","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user is able to run code in Editor for Graph page","0","0","1","0","0"
