"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 28 16:43:18 EST 2023","Thu Dec 28 16:43:21 EST 2023","3487","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Stack"" without sign in","","User is on Home page and click on dropdown ""Stack"" without sign in",""
"passed","Thu Dec 28 16:45:38 EST 2023","Thu Dec 28 16:45:39 EST 2023","768","","Queue feature","","Navigating Implementation using collections.deque page","","Navigating Implementation using collections.deque page",""
"passed","Thu Dec 28 16:46:18 EST 2023","Thu Dec 28 16:46:19 EST 2023","515","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:46:01 EST 2023","Thu Dec 28 16:46:01 EST 2023","424","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Implementation in Python Page","","The user is able to navigate to a page having an tryEditor from Implementation in Python Page",""
"failed","Thu Dec 28 16:43:42 EST 2023","Thu Dec 28 16:43:44 EST 2023","1446","","Validating Register page","","The user is presented with error message for password mismatch","","The user is presented with error message for password mismatch",""
"passed","Thu Dec 28 16:45:19 EST 2023","Thu Dec 28 16:45:20 EST 2023","556","","Testing LinkedList page","","user navigated to ""Traversal"" page","","user navigated to ""Traversal"" page",""
"passed","Thu Dec 28 16:43:10 EST 2023","Thu Dec 28 16:43:14 EST 2023","3484","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Arrays"" without sign in","","User is on Home page and click on dropdown ""Arrays"" without sign in",""
"passed","Thu Dec 28 16:45:27 EST 2023","Thu Dec 28 16:45:27 EST 2023","389","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to ""Operations in Stack"" page","","The user is able to navigate to ""Operations in Stack"" page",""
"passed","Thu Dec 28 16:45:17 EST 2023","Thu Dec 28 16:45:18 EST 2023","355","","Testing LinkedList page","","User navigated to tryEditor page with Run button from Implement Linked List in Python page","","User navigated to tryEditor page with Run button from Implement Linked List in Python page",""
"passed","Thu Dec 28 16:45:54 EST 2023","Thu Dec 28 16:45:54 EST 2023","434","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:44:28 EST 2023","Thu Dec 28 16:44:33 EST 2023","4972","","Array feature","","The user is able to run code in tryEditor for Max Consecutive Ones","","The user is able to run code in tryEditor for Max Consecutive Ones",""
"passed","Thu Dec 28 16:45:34 EST 2023","Thu Dec 28 16:45:34 EST 2023","776","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to ""Practice Questions"" in stack Page","","The user is able to navigate to ""Practice Questions"" in stack Page",""
"passed","Thu Dec 28 16:44:22 EST 2023","Thu Dec 28 16:44:22 EST 2023","387","","Array feature","","The user is able to navigate to Question page from Search the array link","","The user is able to navigate to Question page from Search the array link",""
"passed","Thu Dec 28 16:46:10 EST 2023","Thu Dec 28 16:46:10 EST 2023","577","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:46 EST 2023","Thu Dec 28 16:45:47 EST 2023","407","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Overview of Trees"" page","","The user is able to navigate to ""Overview of Trees"" page",""
"passed","Thu Dec 28 16:46:16 EST 2023","Thu Dec 28 16:46:17 EST 2023","1616","","Graph: Luanch the DS-Algo portal and test Graph module","","The user should be redirected to tryeditor page with run button to test python code","","The user should be redirected to tryeditor page with run button to test python code",""
"passed","Thu Dec 28 16:45:07 EST 2023","Thu Dec 28 16:45:08 EST 2023","1092","","Testing LinkedList page","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Thu Dec 28 16:46:00 EST 2023","Thu Dec 28 16:46:00 EST 2023","561","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:56 EST 2023","Thu Dec 28 16:45:57 EST 2023","553","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Binary trees"" Page","","The user is able to navigate to ""Binary trees"" Page",""
"passed","Thu Dec 28 16:46:22 EST 2023","Thu Dec 28 16:46:22 EST 2023","604","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to run code in Editor for Graph Representations page","","The user is able to run code in Editor for Graph Representations page",""
"passed","Thu Dec 28 16:46:01 EST 2023","Thu Dec 28 16:46:02 EST 2023","612","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:44:54 EST 2023","Thu Dec 28 16:44:55 EST 2023","881","","Array feature","","The user is able to navigate to Question page from Squares of a Sorted Array","","The user is able to navigate to Question page from Squares of a Sorted Array",""
"passed","Thu Dec 28 16:43:04 EST 2023","Thu Dec 28 16:43:07 EST 2023","3479","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Tree"" on home page without sign in","","User is on Home page and click getstarted link ""Tree"" on home page without sign in",""
"passed","Thu Dec 28 16:46:06 EST 2023","Thu Dec 28 16:46:06 EST 2023","467","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:44:22 EST 2023","Thu Dec 28 16:44:24 EST 2023","1898","","Array feature","","The user is able to run code in tryEditor for Search the array link","","The user is able to run code in tryEditor for Search the array link",""
"passed","Thu Dec 28 16:46:14 EST 2023","Thu Dec 28 16:46:14 EST 2023","318","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to navigate to Graph home page","","The user is able to navigate to Graph home page",""
"passed","Thu Dec 28 16:43:52 EST 2023","Thu Dec 28 16:43:52 EST 2023","528","","Validating Login page","","User on login page and login with valid username and invalid password","","User on login page and login with valid username and invalid password",""
"passed","Thu Dec 28 16:46:03 EST 2023","Thu Dec 28 16:46:04 EST 2023","669","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:46:03 EST 2023","Thu Dec 28 16:46:03 EST 2023","333","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Binary Tree Traversals page","","The user is able to navigate to a page having an tryEditor from Binary Tree Traversals page",""
"passed","Thu Dec 28 16:45:14 EST 2023","Thu Dec 28 16:45:15 EST 2023","786","","Testing LinkedList page","","User navigated to ""Types of linked list"" page","","User navigated to ""Types of linked list"" page",""
"passed","Thu Dec 28 16:44:10 EST 2023","Thu Dec 28 16:44:11 EST 2023","1309","","Array feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:43:40 EST 2023","Thu Dec 28 16:43:40 EST 2023","733","","Validating Register page","","The user is presented with error message for empty fields below Password textbox","","The user is presented with error message for empty fields below Password textbox",""
"passed","Thu Dec 28 16:44:39 EST 2023","Thu Dec 28 16:44:40 EST 2023","1109","","Array feature","","The user is presented with error message for invalid code in tryEditor for Max Consecutive Ones","","The user is presented with error message for invalid code in tryEditor for Max Consecutive Ones",""
"passed","Thu Dec 28 16:44:02 EST 2023","Thu Dec 28 16:44:03 EST 2023","1092","","DataStructures-Introduction feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:44:08 EST 2023","Thu Dec 28 16:44:10 EST 2023","1766","","Array feature","","Navigating Arrays in Python page","","Navigating Arrays in Python page",""
"passed","Thu Dec 28 16:46:19 EST 2023","Thu Dec 28 16:46:20 EST 2023","1486","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to navigate to graph page and click on Graph Representations link","","The user is able to navigate to graph page and click on Graph Representations link",""
"passed","Thu Dec 28 16:44:07 EST 2023","Thu Dec 28 16:44:08 EST 2023","1092","","Array feature","","Navigating to Array page","","Navigating to Array page",""
"passed","Thu Dec 28 16:44:14 EST 2023","Thu Dec 28 16:44:15 EST 2023","584","","Array feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:46:11 EST 2023","Thu Dec 28 16:46:11 EST 2023","341","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Implementation Of BST Page","","The user is able to navigate to a page having an tryEditor from Implementation Of BST Page",""
"passed","Thu Dec 28 16:45:30 EST 2023","Thu Dec 28 16:45:30 EST 2023","468","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to Implementation page having an tryEditor","","The user is able to navigate to Implementation page having an tryEditor",""
"passed","Thu Dec 28 16:45:21 EST 2023","Thu Dec 28 16:45:22 EST 2023","468","","Testing LinkedList page","","user navigated to ""Insertion"" page","","user navigated to ""Insertion"" page",""
"passed","Thu Dec 28 16:46:06 EST 2023","Thu Dec 28 16:46:07 EST 2023","436","","User tests the Tree page on the Ds algo application","","The user is able to navigate to Applications of Binary Trees Page","","The user is able to navigate to Applications of Binary Trees Page",""
"passed","Thu Dec 28 16:45:49 EST 2023","Thu Dec 28 16:45:49 EST 2023","379","","User tests the Tree page on the Ds algo application","","The user is able to navigate to Terminologies page having an tryEditor","","The user is able to navigate to Terminologies page having an tryEditor",""
"passed","Thu Dec 28 16:45:10 EST 2023","Thu Dec 28 16:45:10 EST 2023","836","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:43:49 EST 2023","Thu Dec 28 16:43:50 EST 2023","560","","Validating Register page","","The user is presented with error message for existing username","","The user is presented with error message for existing username",""
"passed","Thu Dec 28 16:44:47 EST 2023","Thu Dec 28 16:44:53 EST 2023","6098","","Array feature","","The user is able to submit code in tryEditor for Find Numbers with Even Number of Digits","","The user is able to submit code in tryEditor for Find Numbers with Even Number of Digits",""
"passed","Thu Dec 28 16:46:05 EST 2023","Thu Dec 28 16:46:06 EST 2023","604","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:44:05 EST 2023","Thu Dec 28 16:44:07 EST 2023","1707","","Array feature","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Thu Dec 28 16:45:50 EST 2023","Thu Dec 28 16:45:50 EST 2023","532","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:19 EST 2023","Thu Dec 28 16:45:19 EST 2023","486","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:46:13 EST 2023","Thu Dec 28 16:46:14 EST 2023","600","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Thu Dec 28 16:45:43 EST 2023","Thu Dec 28 16:45:44 EST 2023","446","","Queue feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:32 EST 2023","Thu Dec 28 16:45:32 EST 2023","472","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to ""Applications"" in stack Page","","The user is able to navigate to ""Applications"" in stack Page",""
"passed","Thu Dec 28 16:43:44 EST 2023","Thu Dec 28 16:43:45 EST 2023","957","","Validating Register page","","The user is presented with error message for password with characters less than eight","","The user is presented with error message for password with characters less than eight",""
"passed","Thu Dec 28 16:45:31 EST 2023","Thu Dec 28 16:45:32 EST 2023","490","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:46:05 EST 2023","Thu Dec 28 16:46:05 EST 2023","330","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Implementation of Binary Trees Page","","The user is able to navigate to a page having an tryEditor from Implementation of Binary Trees Page",""
"passed","Thu Dec 28 16:43:52 EST 2023","Thu Dec 28 16:43:53 EST 2023","741","","Validating Login page","","User on login page and login with valid username and  valid password","","User on login page and login with valid username and  valid password",""
"passed","Thu Dec 28 16:46:09 EST 2023","Thu Dec 28 16:46:09 EST 2023","312","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Binary Search Trees Page","","The user is able to navigate to a page having an tryEditor from Binary Search Trees Page",""
"passed","Thu Dec 28 16:43:54 EST 2023","Thu Dec 28 16:43:55 EST 2023","637","","DataStructures-Introduction feature","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Thu Dec 28 16:43:55 EST 2023","Thu Dec 28 16:43:56 EST 2023","1240","","DataStructures-Introduction feature","","Navigating DataStructures-Introduction page","","Navigating DataStructures-Introduction page",""
"passed","Thu Dec 28 16:43:51 EST 2023","Thu Dec 28 16:43:52 EST 2023","454","","Validating Login page","","User on login page and login with invalid username and invalid password","","User on login page and login with invalid username and invalid password",""
"passed","Thu Dec 28 16:45:41 EST 2023","Thu Dec 28 16:45:41 EST 2023","523","","Queue feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:52 EST 2023","Thu Dec 28 16:45:52 EST 2023","433","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Tree Traversals"" Page","","The user is able to navigate to ""Tree Traversals"" Page",""
"passed","Thu Dec 28 16:45:20 EST 2023","Thu Dec 28 16:45:21 EST 2023","624","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:46:08 EST 2023","Thu Dec 28 16:46:08 EST 2023","492","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:36 EST 2023","Thu Dec 28 16:45:37 EST 2023","1009","","Queue feature","","Navigating Implementation of Queue in Python page","","Navigating Implementation of Queue in Python page",""
"passed","Thu Dec 28 16:45:43 EST 2023","Thu Dec 28 16:45:43 EST 2023","684","","Queue feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:49 EST 2023","Thu Dec 28 16:45:50 EST 2023","560","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:32 EST 2023","Thu Dec 28 16:45:32 EST 2023","328","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to Applications page having an tryEditor","","The user is able to navigate to Applications page having an tryEditor",""
"passed","Thu Dec 28 16:45:26 EST 2023","Thu Dec 28 16:45:26 EST 2023","542","","Testing LinkedList page","","The user validating ""Practice Questions"" page","","The user validating ""Practice Questions"" page",""
"passed","Thu Dec 28 16:45:06 EST 2023","Thu Dec 28 16:45:07 EST 2023","550","","Array feature","","The user is presented with error message for code with invalid syntax in tryEditor for Squares of a Sorted Array","","The user is presented with error message for code with invalid syntax in tryEditor for Squares of a Sorted Array",""
"passed","Thu Dec 28 16:44:21 EST 2023","Thu Dec 28 16:44:22 EST 2023","1012","","Array feature","","Navigating to Practice Questions page","","Navigating to Practice Questions page",""
"passed","Thu Dec 28 16:45:48 EST 2023","Thu Dec 28 16:45:49 EST 2023","454","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Terminologies"" Page","","The user is able to navigate to ""Terminologies"" Page",""
"passed","Thu Dec 28 16:45:54 EST 2023","Thu Dec 28 16:45:54 EST 2023","495","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Traversals illustration"" Page","","The user is able to navigate to ""Traversals illustration"" Page",""
"passed","Thu Dec 28 16:44:55 EST 2023","Thu Dec 28 16:45:01 EST 2023","5438","","Array feature","","The user is able to run code in tryEditor for Squares of a Sorted Array","","The user is able to run code in tryEditor for Squares of a Sorted Array",""
"passed","Thu Dec 28 16:45:27 EST 2023","Thu Dec 28 16:45:27 EST 2023","319","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is directed to ""Stack"" Page","","The user is directed to ""Stack"" Page",""
"passed","Thu Dec 28 16:45:20 EST 2023","Thu Dec 28 16:45:20 EST 2023","375","","Testing LinkedList page","","User navigated to tryEditor page with Run button from Traversal page","","User navigated to tryEditor page with Run button from Traversal page",""
"passed","Thu Dec 28 16:44:41 EST 2023","Thu Dec 28 16:44:47 EST 2023","5465","","Array feature","","The user is able to run code in tryEditor for Find Numbers with Even Number of Digits","","The user is able to run code in tryEditor for Find Numbers with Even Number of Digits",""
"passed","Thu Dec 28 16:45:52 EST 2023","Thu Dec 28 16:45:52 EST 2023","432","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:59 EST 2023","Thu Dec 28 16:46:00 EST 2023","784","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:22 EST 2023","Thu Dec 28 16:45:22 EST 2023","366","","Testing LinkedList page","","User navigated to tryEditor page with Run button from Insertion page","","User navigated to tryEditor page with Run button from Insertion page",""
"passed","Thu Dec 28 16:46:07 EST 2023","Thu Dec 28 16:46:08 EST 2023","622","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:44:19 EST 2023","Thu Dec 28 16:44:20 EST 2023","787","","Array feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:43:14 EST 2023","Thu Dec 28 16:43:18 EST 2023","3493","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Linkedlist"" without sign in","","User is on Home page and click on dropdown ""Linkedlist"" without sign in",""
